COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Uganda,UGA,AFRO,REPORTING,2022-12-18,26299538,18867075,57.497,41.248,12961901,28.338,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-10,5,453508,0.991
Ukraine,UKR,EURO,REPORTING,2022-02-27,31668577,15774300,72.4,36.069,15153577,34.65,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-24,6,741197,1.695
United Arab Emirates,ARE,EMRO,REPORTING,2022-07-06,24922054,9991089,251.982,101.018,9792266,99.008,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",,11,5138699,51.956
United Republic of Tanzania,TZA,AFRO,REPORTING,2022-12-11,35994687,31191545,60.258,52.217,29270881,49.002,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-07-28,3,,
United States of America,USA,AMRO,REPORTING,2023-01-20,660066195,265866389,199.414,80.322,226828631,68.528,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",2020-12-14,4,114993404,34.741
Uruguay,URY,AMRO,REPORTING,2023-01-20,8875362,3005128,255.499,86.51,2897383,83.408,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-27,3,2071528,59.634
Uzbekistan,UZB,EURO,REPORTING,2023-01-08,73472066,21542014,219.5,64.364,17867908,53.386,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine",2021-04-28,8,15050190,44.967
Vanuatu,VUT,WPRO,REPORTING,2022-08-28,292146,144290,95.117,46.978,131300,42.749,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S",2021-06-02,3,16556,5.39
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,2023-01-20,37860994,22157232,133.145,77.92,14287370,50.244,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac",2021-02-22,6,651502,2.291
Viet Nam,VNM,WPRO,REPORTING,2023-01-12,265668329,90454197,272.932,92.927,85868733,88.217,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-03-08,6,57505108,59.077
Wallis and Futuna,WLF,WPRO,REPORTING,2022-07-26,16782,6592,149.226,58.616,6989,62.147,Moderna - Spikevax,2021-03-19,1,3201,28.463
Yemen,YEM,EMRO,REPORTING,2023-01-03,1242982,1006274,4.167,3.374,761003,2.551,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-04-20,11,59307,0.199
Zambia,ZMB,AFRO,REPORTING,2022-12-25,13614983,10959569,74.059,59.615,8555745,46.539,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-04-14,3,1031133,5.609
Zimbabwe,ZWE,AFRO,REPORTING,2022-11-13,12694853,6558577,85.413,44.127,4927696,33.154,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac",2021-02-18,4,1208580,8.132
